AGS;car_density;ecar_share;publictransport_meandist;population;green_voteshare;afd_voteshare
08426;6542;2.3;4198;206513;136;11
08435;6343;2.3;3231;222712;176;85
08436;635;2.3;582;290911;171;88
08437;6624;1.9;694;134045;121;114
09161;6872;4.1;1927;141029;138;101
09162;4925;3.3;2052;1512491;261;45
09163;555;2;2679;64403;17;87
09171;6402;2.1;15433;113798;10;104
09172;6175;2;7902;107667;114;89
09173;6335;2;6484;129511;138;83
09174;6066;2.2;4287;156982;144;77
09175;592;2.7;4128;146830;171;63
09176;6357;2.1;11405;135591;10;94
09177;6436;2.2;7951;141680;122;84
09178;6004;2.4;6077;184433;162;79
09179;5647;2.2;218;221612;172;62
09180;599;1.9;4475;88840;124;78
09181;6805;3.3;9061;123032;174;74
09182;6644;2.4;8722;101346;129;76
09183;6375;2.1;13171;119878;91;112
09184;6708;3.9;2588;355890;185;53
09185;668;1.7;16444;99957;94;108
09186;6501;2.3;17465;132082;109;104
09187;6569;2.4;10269;266945;13;87
09188;6424;3.3;326;138785;191;5
09189;6612;2.3;11537;180779;127;84
09190;6517;2.3;7961;138208;14;8
09261;5084;2;1711;75457;159;82
09262;5461;2.3;1769;53907;175;82
09263;5683;2.1;2051;49164;96;116
09271;6553;2;1447;122121;75;133
09272;6783;1.6;9627;79286;57;151
09273;654;2.1;1252;125701;87;113
09274;677;2.3;18887;164773;92;103
09275;6665;2.1;11236;196963;71;129
09276;6531;1.7;17884;78035;56;159
09277;6798;1.9;18467;124436;75;114
09278;6778;2;24079;103806;67;118
09279;7038;2.1;39193;100306;66;137
09361;5934;2.3;1886;42534;116;116
09362;5238;2.6;1809;157443;238;7
09363;6132;1.7;1891;43052;96;115
09371;6835;2.5;9025;104436;83;108
09372;6939;1.9;20437;130193;6;138
09373;6588;2.2;1662;138086;97;98
09374;6861;1.8;11082;95954;66;116
09375;6507;2.3;5888;198160;108;101
09376;6754;1.6;16767;151711;67;132
09377;6817;1.5;20381;72172;62;109
09461;5136;2.4;1555;79935;229;78
09462;5401;3.3;1799;74506;187;73
09463;5993;2.3;1485;41842;159;79
09464;553;1.8;2221;46656;99;113
09471;6909;1.9;13547;149122;9;127
09472;6912;1.8;16651;104702;88;97
09473;6848;1.9;9239;87103;9;109
09474;6701;2.1;4845;117948;125;9
09475;6799;1.6;15001;94589;73;115
09476;6915;1.5;31914;66393;63;113
09477;7013;1.8;14403;71653;94;103
09478;6728;1.5;11315;67328;83;115
09479;6596;1.6;631;72006;71;121
09561;6076;2;2325;42221;139;113
09562;4806;2.3;1873;116562;262;54
09563;4906;2;1739;131433;189;87
09564;4738;1.9;2153;523026;193;79
09565;6428;2.5;2539;41227;151;89
09571;6791;2;13594;188623;115;101
09572;6606;2.8;4092;140994;164;8
09573;6524;2.1;4578;119923;145;89
09574;6508;2.2;6235;172665;151;81
09575;6673;2.3;16601;103303;116;96
09576;6847;2;11198;128694;122;91
09577;6548;2.2;16591;97120;112;93
09661;5957;2.5;160;72444;174;93
09662;5394;2.1;1526;54675;116;123
09663;5066;2.5;1889;127810;256;59
09671;6737;2.3;2569;176958;131;95
09672;6848;2;1508;104567;93;102
09673;6883;3.9;14196;80341;94;101
09674;6979;2.1;19392;84984;88;117
09675;6709;2.2;10014;93247;115;88
09676;6738;1.6;4468;129835;113;93
09677;6804;1.9;6028;127132;114;85
09678;6771;2.2;16602;117044;103;102
09679;6538;2.5;4534;165339;148;71
09761;4665;1.7;208;301033;198;89
09762;5683;1.9;2339;45792;138;111
09763;5728;2.4;1683;70056;168;96
09764;5934;1.9;2802;45857;132;113
09771;6485;2.3;5534;137334;123;98
09772;6479;2.2;505;261342;126;99
09773;6741;1.7;9835;99109;89;128
09774;6633;1.9;9377;130112;93;127
